,rank,discipline,phd,service,sex,salary
0,Prof,B,56,49,Male,186960.0
1,Prof,A,12,6,Male,93000.0
2,Prof,A,23,20,Male,110515.0
3,Prof,A,40,31,Male,131205.0
4,Prof,B,20,18,Male,104800.0
5,Prof,A,20,20,Male,122400.0
6,AssocProf,A,20,17,Male,81285.0
7,Prof,A,18,18,Male,126300.0
8,Prof,A,29,19,Male,94350.0
9,Prof,A,51,51,Male,57800.0
10,Prof,B,39,33,Male,128250.0
11,Prof,B,23,23,Male,134778.0
12,AsstProf,B,1,0,Male,88000.0
13,Prof,B,35,33,Male,162200.0
14,Prof,B,25,19,Male,153750.0
15,Prof,B,17,3,Male,150480.0
16,AsstProf,B,8,3,Male,75044.0
17,AsstProf,B,4,0,Male,92000.0
18,Prof,A,19,7,Male,107300.0
19,Prof,A,29,27,Male,150500.0
20,AsstProf,B,4,4,Male,92000.0
21,Prof,A,33,30,Male,103106.0
22,AsstProf,A,4,2,Male,73000.0
23,AsstProf,A,2,0,Male,85000.0
24,Prof,A,30,23,Male,91100.0
25,Prof,B,35,31,Male,99418.0
26,Prof,A,38,19,Male,148750.0
27,Prof,A,45,43,Male,155865.0
28,AsstProf,B,7,2,Male,91300.0
29,Prof,B,21,20,Male,123683.0
30,AssocProf,B,9,7,Male,107008.0
31,Prof,B,22,21,Male,155750.0
32,Prof,A,27,19,Male,103275.0
33,Prof,B,18,18,Male,120000.0
34,AssocProf,B,12,8,Male,119800.0
35,Prof,B,28,23,Male,126933.0
36,Prof,B,45,45,Male,146856.0
37,Prof,A,20,8,Male,102000.0
38,AsstProf,B,4,3,Male,91000.0
39,Prof,B,18,18,Female,129000.0
40,Prof,A,39,36,Female,137000.0
41,AssocProf,A,13,8,Female,74830.0
42,AsstProf,B,4,2,Female,80225.0
43,AsstProf,B,5,0,Female,77000.0
44,Prof,B,23,19,Female,151768.0
45,Prof,B,25,25,Female,140096.0
46,AsstProf,B,11,3,Female,74692.0
47,AssocProf,B,11,11,Female,103613.0
48,Prof,B,17,17,Female,111512.0
49,Prof,B,17,18,Female,122960.0
50,AsstProf,B,10,5,Female,97032.0
51,Prof,B,20,14,Female,127512.0
52,Prof,A,12,0,Female,105000.0
53,AsstProf,A,5,3,Female,73500.0
54,AssocProf,A,25,22,Female,62884.0
55,AsstProf,A,2,0,Female,72500.0
56,AssocProf,A,10,8,Female,77500.0
57,AsstProf,A,3,1,Female,72500.0
58,Prof,B,36,26,Female,144651.0
59,AssocProf,B,12,10,Female,103994.0
60,AsstProf,B,3,3,Female,92000.0
61,AssocProf,B,13,10,Female,103750.0
62,AssocProf,B,14,7,Female,109650.0
63,Prof,A,29,27,Female,91000.0
64,AssocProf,A,26,24,Female,73300.0
65,Prof,A,36,19,Female,117555.0
66,AsstProf,A,7,6,Female,63100.0
67,Prof,A,17,11,Female,90450.0
68,AsstProf,A,4,2,Female,77500.0
69,Prof,A,28,7,Female,116450.0
70,AsstProf,A,8,3,Female,78500.0
71,AssocProf,B,12,9,Female,71065.0
72,Prof,B,24,15,Female,161101.0
73,Prof,B,18,10,Female,105450.0
74,AssocProf,B,19,6,Female,104542.0
75,Prof,B,17,17,Female,124312.0
76,Prof,A,28,14,Female,109954.0
77,Prof,A,23,15,Female,109646.0
